date,open,high,low,close,volume
2019-01-01,80.1521,82.0289,80.1027,81.9784,1479216
2019-01-02,82.6826,84.2012,79.1448,80.6256,1789668
2019-01-03,80.6687,82.4232,80.0781,81.8242,1147504
2019-01-04,81.7142,82.3476,80.5205,81.1494,1573367
2019-01-07,80.7825,82.3889,79.8232,81.4220,1283245
2019-01-08,81.1324,83.9729,81.0917,83.9309,2763011
2019-01-09,84.2178,85.9581,83.8371,85.5713,1362843
2019-01-10,85.6352,87.3422,85.2884,86.9899,1234387
2019-01-11,87.5762,88.6362,87.2900,88.3475,1142959
2019-01-14,88.8246,89.8415,84.1394,85.1138,1977630
2019-01-15,84.7269,87.5458,83.5458,86.3422,1201093
2019-01-16,86.2494,86.8750,83.6930,84.3045,2244019
2019-01-17,84.9473,89.3986,83.2419,87.6392,2143056
2019-01-18,88.0235,88.4432,87.2761,87.6943,1043207
2019-01-21,89.1029,89.8067,88.5918,89.2945,1504162
2019-01-22,89.4136,89.6840,88.3470,88.6150,1058738
2019-01-23,88.8273,90.9505,86.7395,88.8619,1244657
2019-01-24,89.0928,89.3312,87.6968,87.9321,1268535
2019-01-25,88.4162,89.8461,87.5061,88.9307,1457512
2019-01-28,88.2596,88.9248,87.2795,87.9424,1651431
2019-01-29,87.0811,87.0950,85.9911,86.0048,1397164
2019-01-30,85.6518,89.2958,84.6042,88.2168,2160703
2019-01-31,88.5450,90.2597,88.5186,90.2328,2182890
2019-02-01,89.4608,90.9884,88.5101,90.0317,998739
2019-02-04,89.8961,90.0179,89.6969,89.8186,1062447
2019-02-05,89.3441,92.5738,89.2272,92.4529,2497045
2019-02-06,92.4513,93.5850,92.2398,93.3715,1272313
2019-02-07,92.4438,93.6177,91.9900,93.1604,1317223
2019-02-08,93.3657,93.8136,89.8409,90.2740,2598537
2019-02-11,90.4960,90.5726,90.4271,90.5037,980520
2019-02-12,90.1982,91.6412,88.1492,89.5824,1546081
2019-02-13,89.3665,90.0846,89.0816,89.7983,829794
2019-02-14,90.0976,91.3435,89.2895,90.5316,1169067
2019-02-15,90.2509,90.9035,90.0714,90.7231,1075767
2019-02-18,91.1328,92.3030,86.6161,87.7427,1719053
2019-02-19,88.0644,91.0471,87.7763,90.7502,2315259
2019-02-20,91.7375,92.0230,90.7795,91.0628,805139
2019-02-21,91.3800,92.3620,88.7659,89.7302,1765267
2019-02-22,89.8788,90.5142,89.6181,90.2524,1459181
2019-02-25,89.5140,94.0581,87.9392,92.4320,1442196
2019-02-26,92.5753,92.8574,91.3317,91.6109,1659700
2019-02-27,92.5775,93.7147,91.3811,92.5176,1633820
2019-02-28,92.3423,92.4918,91.2725,91.4206,1319226
2019-03-01,91.7151,92.2149,91.6069,92.1062,1371218
2019-03-04,91.6690,92.9618,91.5074,92.7982,1307941
2019-03-05,92.7989,94.0341,91.6221,92.8566,767641
2019-03-06,92.3254,92.9616,89.9064,90.5301,1953881
2019-03-07,90.6149,91.2537,89.6211,90.2574,880701
2019-03-08,90.3691,91.7193,89.8798,91.2254,1704784
2019-03-11,91.4262,91.9520,89.8051,90.3246,1246108
2019-03-12,90.0144,90.5428,88.4785,89.0009,2027322
2019-03-13,89.4797,90.3854,86.4075,87.2911,2026865
2019-03-14,86.9841,87.8331,86.7748,87.6222,1371536
2019-03-15,87.6778,87.8193,86.1546,86.2939,1757566
2019-03-18,86.5020,87.9723,86.1278,87.5934,1718555
2019-03-19,87.0386,87.9396,86.2985,87.1981,902986
2019-03-20,87.8112,88.2659,86.4195,86.8694,894537
2019-03-21,87.4354,88.5558,85.9856,87.1017,1141720
2019-03-22,87.6821,88.7469,85.2252,86.2729,1503784
2019-03-25,85.9291,87.2430,84.4008,85.7114,908972
2019-03-26,85.5096,85.7050,83.9988,84.1912,1939502
2019-03-27,84.3231,84.4351,83.7966,83.9081,897481
2019-03-28,83.8058,84.8420,83.7462,84.7817,1276938
2019-03-29,84.7841,85.6797,80.5635,81.4237,2687324
2019-04-01,81.1358,81.9056,79.8904,80.6556,1639267
2019-04-02,81.2612,83.6516,80.1860,82.5592,1655590
2019-04-03,82.1826,83.5396,80.2439,81.5911,1229397
2019-04-04,81.6433,82.9021,81.1145,82.3686,1091851
2019-04-05,82.3674,82.4091,81.2402,81.2813,1089763
2019-04-08,80.7351,80.7883,79.4252,79.4776,2122065
2019-04-09,79.5977,81.2998,79.3536,81.0512,1256620
2019-04-10,80.7448,82.9903,80.4006,82.6380,2200156
2019-04-11,83.0912,84.1634,81.9320,83.0030,1022031
2019-04-12,82.7817,82.8119,81.9323,81.9623,1235295
2019-04-15,82.2481,82.2725,81.3869,81.4111,1106393
2019-04-16,80.9853,82.6908,80.3403,82.0374,1315829
2019-04-17,82.1371,82.6004,81.7238,82.1869,1313696
2019-04-18,81.6297,82.1541,79.7705,80.2863,2322607
2019-04-19,79.8483,82.1649,79.6928,82.0052,1987154
2019-04-22,82.2175,82.7073,81.8397,82.3290,1165321
2019-04-23,82.5600,83.0035,82.0559,82.4991,1225440
2019-04-24,82.1403,83.9804,81.9463,83.7826,1863873
2019-04-25,83.8462,84.1609,81.8028,82.1110,2280602
2019-04-26,82.1177,82.1285,80.3565,80.3671,1335858
2019-04-29,80.3876,82.1495,79.5963,81.3486,1689452
2019-04-30,81.6387,82.0457,80.9484,81.3539,1090302
2019-05-01,80.9988,81.4994,80.7984,81.2983,902500
2019-05-02,81.4471,83.3665,81.1672,83.0810,1819347
2019-05-03,82.9934,86.7108,82.2139,85.9040,2970840
2019-05-06,86.5663,88.4400,85.3222,87.1869,1281935
2019-05-07,86.7576,87.8828,85.8407,86.9638,952419
2019-05-08,86.8324,86.9426,85.5447,85.6534,1792290
2019-05-09,85.8807,86.6874,83.8612,84.6564,1438106
2019-05-10,85.4769,85.6147,84.8407,84.9777,1259709
2019-05-13,84.5537,86.5396,84.4534,86.4370,1446374
2019-05-14,86.6837,86.8001,85.4691,85.5840,1555664
2019-05-15,85.5810,87.3975,84.1690,85.9790,1226067
2019-05-16,86.1403,87.3366,83.8181,84.9985,1671058
2019-05-17,85.1933,86.4760,84.7766,86.0551,1380570
2019-05-20,85.9826,86.9448,83.6530,84.5997,1501309
2019-05-21,84.8791,86.4105,81.7098,83.2111,1928591
2019-05-22,82.8420,87.2974,81.4475,85.8523,2487100
2019-05-23,85.8125,86.4039,85.8040,86.3953,1571297
2019-05-24,85.9319,87.4140,85.6365,87.1145,1475698
2019-05-27,87.8538,88.2974,85.0704,85.5021,1581292
2019-05-28,85.4774,86.9898,83.9176,85.4292,1079852
2019-05-29,84.7343,87.2262,83.5959,86.0698,1595533
2019-05-30,85.6163,87.8195,85.3596,87.5570,1761574
2019-05-31,87.2619,87.3395,84.5340,84.6093,2778984
2019-06-03,84.2764,85.5706,81.4290,82.6990,1768029
2019-06-04,82.5986,82.7331,80.3158,80.4468,1988254
2019-06-05,80.8574,82.2258,80.2070,81.5697,1511221
2019-06-06,81.4236,83.5324,80.1115,82.2076,1315162
2019-06-07,82.2966,82.5243,81.9937,82.2212,1278442
2019-06-10,82.6095,82.9356,80.0023,80.3194,2301413
2019-06-11,80.5011,80.5732,80.1103,80.1820,866988
2019-06-12,80.3026,81.7602,79.5758,81.0269,1297924
2019-06-13,80.9269,81.5142,80.0592,80.6444,1109143
2019-06-14,80.8567,81.8605,78.2135,79.1967,1250547
2019-06-17,79.5064,79.6309,79.3011,79.4255,801544
2019-06-18,79.1545,80.5147,78.8381,80.1942,1541996
2019-06-19,79.6211,81.6245,78.0710,80.0658,1057905
2019-06-20,80.1668,82.1371,79.4816,81.4410,1725330
2019-06-21,81.3468,82.5017,79.5254,80.6707,1729805
2019-06-24,80.3992,80.8630,80.2074,80.6705,885981
2019-06-25,80.8269,81.2324,80.2388,80.6434,959115
2019-06-26,80.1608,82.7840,79.4362,82.0424,1690076
