date,open,high,low,close,volume
2019-01-01,301.0625,305.5554,298.6280,303.1044,1524915
2019-01-02,303.1667,305.1356,296.7914,298.7315,1539412
2019-01-03,298.8915,301.4034,296.7020,299.2115,1327865
2019-01-04,298.7333,300.2476,296.8975,298.4102,860674
2019-01-07,297.7798,298.6518,292.0606,292.9184,1528856
2019-01-08,292.8719,295.3396,292.4262,294.8909,1403075
2019-01-09,294.4008,298.5075,294.1701,298.2737,1571363
2019-01-10,299.0206,299.1709,296.8686,297.0178,1020134
2019-01-11,295.6280,298.5059,295.5074,298.3841,1083170
2019-01-14,297.5539,301.4255,297.3137,301.1824,1624419
2019-01-15,300.7424,300.8094,299.4089,299.4756,1500254
2019-01-16,300.4816,300.8392,298.7058,299.0617,947987
2019-01-17,298.5816,299.8481,297.2676,298.5339,1152233
2019-01-18,298.7183,301.1036,297.6990,300.0796,1249188
2019-01-21,299.7094,303.7629,298.6710,302.7141,1509363
2019-01-22,301.6082,303.5141,299.3075,301.2109,892676
2019-01-23,301.0061,306.4295,298.5471,303.9465,1642150
2019-01-24,304.2478,308.7869,303.8747,308.4087,1798482
2019-01-25,309.6189,311.7281,302.0941,304.1661,1708308
2019-01-28,305.1339,306.9045,302.9245,304.6926,1143207
2019-01-29,304.7658,307.3159,304.6077,307.1566,1605256
2019-01-30,307.5532,310.1252,300.5329,303.0674,1747952
2019-01-31,302.7595,307.1793,302.0192,306.4300,1660596
2019-02-01,306.8919,312.2616,304.5082,309.8549,1840720
2019-02-04,310.2282,313.0320,304.0627,306.8358,1773509
2019-02-05,306.8943,307.4184,303.5901,304.1095,1409433
2019-02-06,305.0115,310.0860,302.1663,307.2202,1200956
2019-02-07,305.7821,307.8636,305.4732,307.5529,1061265
2019-02-08,306.9420,309.2303,306.6053,308.8915,1449022
2019-02-11,308.2873,310.2864,305.6402,307.6352,1277145
2019-02-12,309.0844,311.6047,308.3789,310.8951,1643521
2019-02-13,311.0136,312.1898,304.3185,305.4738,1406878
2019-02-14,305.4289,306.7175,301.9436,303.2230,1639572
2019-02-15,304.1511,305.3866,301.6470,302.8773,1047117
2019-02-18,303.2852,304.9740,299.4874,301.1644,1056675
2019-02-19,300.7026,302.5012,298.5606,300.3572,997535
2019-02-20,300.7609,302.0214,298.1597,299.4146,1020774
2019-02-21,298.8948,300.7912,296.7878,298.6828,1377040
2019-02-22,298.7513,299.9426,294.4812,295.6601,1801033
2019-02-25,294.3382,299.3855,291.3036,296.3303,1015822
2019-02-26,295.9808,299.2365,295.6387,298.8911,1544346
2019-02-27,298.2280,301.3939,297.0288,300.1869,1002132
2019-02-28,299.7153,300.8102,297.4060,298.4965,1430836
2019-03-01,299.2963,304.0252,297.9147,302.6282,1494633
2019-03-04,303.8726,304.3000,302.6588,303.0852,1350093
2019-03-05,302.5894,302.8162,302.5626,302.7893,1247963
2019-03-06,302.9906,303.2551,302.9157,303.1801,1036074
2019-03-07,303.4761,304.5956,299.9013,301.0117,998479
2019-03-08,300.6825,301.4587,296.2834,297.0502,1224604
2019-03-11,296.1178,301.3896,295.4699,300.7316,1510501
2019-03-12,300.5284,302.4282,298.5040,300.4030,1047583
2019-03-13,300.9243,302.4083,300.8711,302.3549,1568783
2019-03-14,303.0223,308.2626,301.8729,307.0977,1371419
2019-03-15,306.3121,306.5807,304.9157,305.1834,1435295
2019-03-18,305.6866,305.9294,303.9244,304.1660,960172
2019-03-19,303.3222,305.8794,301.9799,304.5318,1008724
2019-03-20,303.9221,311.1456,301.9338,309.1232,1594527
2019-03-21,308.8551,312.5701,307.9187,311.6254,1659842
2019-03-22,312.6234,314.5492,308.7955,310.7095,1258969
2019-03-25,310.2053,314.8190,308.8004,313.3996,1446934
2019-03-26,312.6758,318.7661,308.3082,314.3748,1380253
2019-03-27,315.6483,317.0168,315.1590,316.5261,1539922
2019-03-28,315.6637,317.2218,313.1959,314.7495,1191324
2019-03-29,314.4162,314.6282,311.5970,311.8072,1093984
2019-04-01,313.7241,314.9888,310.2947,311.5507,1040349
2019-04-02,310.8626,314.9747,309.8022,313.9038,1386463
2019-04-03,312.5809,318.9922,310.1448,316.5253,1382691
2019-04-04,317.3064,320.1519,316.1691,319.0085,1277999
2019-04-05,319.4550,322.9354,318.9293,322.4049,1674285
2019-04-08,322.6909,323.6614,319.4357,320.3994,949923
2019-04-09,320.0470,320.2099,319.1267,319.2892,1150690
2019-04-10,318.8046,320.3956,313.2764,314.8477,1504143
2019-04-11,315.3363,316.8245,311.7949,313.2734,1100848
2019-04-12,312.3903,313.9016,310.0678,311.5750,1369645
2019-04-15,313.7447,315.4000,307.4496,309.0803,1315720
2019-04-16,308.2159,311.5541,307.1282,310.4585,1496552
2019-04-17,309.9097,314.2051,307.3235,311.6048,1138375
2019-04-18,311.3722,312.6371,306.8095,308.0609,1118694
2019-04-19,307.5682,309.9015,303.4251,305.7446,997086
2019-04-22,305.2019,307.1087,303.8314,305.7359,1216680
2019-04-23,305.3316,306.8359,302.8360,304.3354,1296759
2019-04-24,303.8562,303.9543,300.2789,300.3759,1928475
2019-04-25,300.3735,301.4971,296.7971,297.9115,1447713
2019-04-26,297.5702,299.5188,297.5177,299.4661,1232806
2019-04-29,299.8461,300.2952,297.9012,298.3480,1398421
2019-04-30,299.0445,299.3403,296.9246,297.2186,818394
2019-05-01,295.8807,298.2593,294.9717,297.3458,1076800
2019-05-02,296.7623,298.1339,293.6089,294.9722,1442304
2019-05-03,296.3170,301.4356,293.0442,298.1426,1537326
2019-05-06,298.3042,299.1750,296.3282,297.1958,933387
2019-05-07,296.1381,299.3833,294.9297,298.1666,1106707
2019-05-08,299.0839,304.0063,294.1211,299.0428,1080230
2019-05-09,301.1870,302.0569,298.1099,298.9735,1196610
2019-05-10,298.9913,300.2650,295.2554,296.5186,1374456
2019-05-13,295.4436,296.4982,288.3065,289.3394,2501815
2019-05-14,289.3606,289.7673,288.8623,289.2688,986417
2019-05-15,288.9633,291.1296,287.7507,289.9130,1205148
2019-05-16,290.2532,291.2942,290.0815,291.1219,1341219
2019-05-17,291.4511,291.4993,286.9599,287.0075,1609846
2019-05-20,287.4029,289.4041,285.7719,287.7710,982694
2019-05-21,287.5264,289.0893,287.5199,289.0827,1402038
2019-05-22,287.8334,288.6379,286.0556,286.8574,1376161
2019-05-23,286.2415,286.7415,285.4682,285.9677,1461433
2019-05-24,285.6502,289.7942,284.4275,288.5590,1383026
2019-05-27,288.6151,289.8536,284.7551,285.9823,1171347
2019-05-28,286.2816,290.9691,283.7066,288.3754,1589538
2019-05-29,288.1867,288.9337,287.0164,287.7624,1352563
2019-05-30,287.1269,291.0827,287.0671,291.0220,1550199
2019-05-31,289.6620,295.4492,288.7470,294.5189,1679198
2019-06-03,294.7025,301.5055,291.5770,298.3414,1925707
2019-06-04,298.2255,300.5810,297.7687,300.1214,1362405
2019-06-05,301.1134,302.3027,292.2875,293.4465,1590014
2019-06-06,292.3965,293.2014,289.4549,290.2540,1717330
2019-06-07,290.9293,291.1495,289.6282,289.8476,1340280
2019-06-10,291.0508,292.3767,288.9733,290.2958,1194024
2019-06-11,290.8552,292.2350,283.5334,284.8848,2029790
2019-06-12,284.7567,286.8833,283.9487,286.0716,1486013
2019-06-13,286.3608,287.3571,281.8307,282.8146,1595955
2019-06-14,283.4107,285.9365,281.6974,284.2183,1406305
2019-06-17,284.3603,285.1333,282.0793,282.8481,1073840
2019-06-18,284.7255,284.8139,280.5978,280.6849,1122090
2019-06-19,280.1853,281.1523,277.2279,278.1880,1125118
2019-06-20,277.6624,279.7377,277.0512,279.1233,860376
2019-06-21,277.7580,279.2837,277.1971,278.7208,1314814
2019-06-24,280.2992,281.7337,278.6266,280.0598,1325527
2019-06-25,280.4266,288.6640,277.8348,286.0206,2001019
2019-06-26,285.5807,287.0620,282.4658,283.9386,1137872
2019-06-27,284.0442,285.2073,282.1273,283.2873,1089660
2019-06-28,283.5518,284.1165,281.8881,282.4507,1226924
2019-07-01,282.4761,283.8853,281.3328,282.7410,766039
2019-07-02,283.1466,283.8407,282.7614,283.4550,899818
2019-07-03,283.9830,286.9330,282.9710,285.9142,1176862
2019-07-04,286.1888,291.3035,284.0269,289.1195,1431336
2019-07-05,287.8854,289.7420,287.1955,289.0494,935322
2019-07-08,289.6605,290.9490,285.9161,287.1937,929899
2019-07-09,288.0333,288.4825,283.7922,284.2354,1025375
2019-07-10,283.6320,286.9240,282.4598,285.7430,1212325
2019-07-11,285.8339,287.5387,284.7975,286.4999,1322852
2019-07-12,285.6134,288.9685,285.2921,288.6439,1243221
2019-07-15,288.3815,288.7089,286.6236,286.9494,892287
2019-07-16,286.4600,287.0658,285.7602,286.3658,1348587
2019-07-17,284.6403,286.2363,282.6982,284.2923,1460531
2019-07-18,283.8753,285.7000,281.5212,283.3424,1472694
2019-07-19,282.4359,288.0168,281.1860,286.7478,1143919
2019-07-22,286.0353,290.1455,284.8378,288.9358,1339138
2019-07-23,288.8292,290.5775,288.7810,290.5289,1056907
2019-07-24,291.0181,292.7553,288.0041,289.7336,1041721
2019-07-25,291.0338,293.6521,285.2286,287.8180,1190574
2019-07-26,288.3763,288.4556,284.3244,284.4025,1486420
2019-07-29,284.3850,284.5942,281.2577,281.4647,1725164
2019-07-30,282.7046,283.4158,281.3503,282.0599,1086769
2019-07-31,281.6440,285.3292,279.8049,283.4781,899986
2019-08-01,283.9595,284.2422,278.5692,278.8468,1471259
2019-08-02,278.4867,280.5638,277.7882,279.8618,1276076
2019-08-05,279.9316,281.7915,279.5420,281.3999,1444408
2019-08-06,281.8592,282.4672,281.2829,281.8908,804504
2019-08-07,281.8055,282.3105,278.1186,278.6179,1037499
2019-08-08,279.1269,281.7963,273.1465,275.7840,1369878
2019-08-09,275.8460,276.1364,271.0012,271.2868,1503887
2019-08-12,272.5227,274.1487,268.3563,269.9671,1054141
2019-08-13,269.3923,273.7505,268.7800,273.1297,1371015
2019-08-14,273.2430,275.2614,271.2629,273.2810,1056066
2019-08-15,273.9731,274.1048,273.4283,273.5598,1011769
2019-08-16,272.2043,278.3953,271.4646,277.6408,1530778
2019-08-19,277.9708,279.5735,274.8797,276.4738,1408810
2019-08-20,276.7114,283.4163,275.2179,281.8949,1920662
2019-08-21,281.0327,284.9793,279.9877,283.9236,1076552
2019-08-22,283.2571,285.0932,282.5235,284.3567,1270226
2019-08-23,285.4202,289.5246,278.3838,282.4455,1646533
2019-08-26,282.5589,283.7862,281.3479,282.5750,884479
2019-08-27,282.7407,285.7906,281.6483,284.6906,1533615
2019-08-28,282.5329,284.0930,281.3887,282.9471,1161282
2019-08-29,282.5897,285.7432,280.7395,283.8845,1369216
2019-08-30,283.2734,286.5373,281.7952,285.0498,1436038
2019-09-02,285.2391,286.5556,282.8205,284.1319,1463133
2019-09-03,283.8538,287.5199,282.3594,286.0141,1104773
2019-09-04,286.4158,289.0108,281.2030,283.7741,1039804
2019-09-05,283.2329,284.1478,282.6681,283.5823,927122
2019-09-06,282.4722,284.2158,280.2349,281.9754,1048963
2019-09-09,281.3155,281.5535,280.2718,280.5091,1148259
2019-09-10,281.1737,283.8463,275.6703,278.3157,1671826
2019-09-11,277.8959,278.4454,274.8123,275.3568,1112519
2019-09-12,275.3019,275.4701,274.7197,274.8877,1030212
2019-09-13,274.2348,275.1349,271.5929,272.4872,1559019
2019-09-16,271.9681,272.5798,268.0274,268.6317,1540283
2019-09-17,268.5983,272.3804,266.2707,270.0403,1168599
2019-09-18,270.8999,275.2598,270.6575,275.0137,1338873
2019-09-19,274.6157,275.0566,267.7705,268.2011,2355513
2019-09-20,267.9937,272.0741,267.5377,271.6119,1263252
2019-09-23,271.6495,273.5462,271.1999,273.0942,956936
2019-09-24,272.8636,276.6320,271.0738,274.8293,1489769
2019-09-25,275.7121,280.8543,272.7012,277.8203,1327945
2019-09-26,278.3319,279.5840,276.6005,277.8504,910196
2019-09-27,277.3707,278.8599,275.2939,276.7799,1079452
2019-09-30,276.5999,277.6587,275.0063,276.0631,1246381
2019-10-01,276.3751,279.1300,273.3673,276.1197,865982
2019-10-02,275.5533,279.6825,273.1377,277.2519,1052424
2019-10-03,278.2321,278.7121,276.0796,276.5568,1275169
2019-10-04,276.5832,278.8366,275.8615,278.1109,962069
2019-10-07,277.2446,283.3848,273.7950,279.9023,1189099
2019-10-08,279.7764,282.8021,279.2614,282.2825,1627586
2019-10-09,281.3025,281.9470,279.1513,279.7924,1311043
2019-10-10,279.6025,280.2267,278.9871,279.6113,822028
2019-10-11,280.3447,281.0949,273.2657,273.9990,2247823
2019-10-14,273.7028,282.5922,270.3249,279.1472,2186850
2019-10-15,279.3170,281.4038,274.9277,276.9972,1340648
2019-10-16,276.8717,278.3798,272.9383,274.4331,1127491
2019-10-17,275.5608,276.7354,272.0160,273.1805,1399876
2019-10-18,272.7661,274.3792,272.1127,273.7236,1187302
2019-10-21,273.4924,274.9025,270.0314,271.4308,1123527
2019-10-22,271.2151,271.4864,268.6244,268.8934,1027847
2019-10-23,268.3047,269.2968,268.1027,269.0942,1144039
2019-10-24,269.2331,272.9396,268.9876,272.6909,1075096
2019-10-25,272.1039,272.1843,269.3625,269.4422,1876281
2019-10-28,270.2464,272.0516,267.3317,269.1295,775304
2019-10-29,269.0439,274.2217,267.6220,272.7800,1884675
2019-10-30,271.5654,273.5175,270.6889,272.6375,1131493
2019-10-31,272.4266,277.2453,269.8452,274.6430,1083514
2019-11-01,274.9409,277.6405,274.8156,277.5140,1452381
2019-11-04,277.5581,277.7752,275.4605,275.6761,1620914
2019-11-05,275.7393,276.1105,270.3902,270.7547,1756580
2019-11-06,269.6476,270.7518,268.2735,269.3765,1467417
2019-11-07,269.3210,271.8826,268.2625,270.8182,1044519
2019-11-08,270.2243,274.7781,268.4116,272.9472,1408520
2019-11-11,273.0666,274.8204,271.8972,273.6485,1174963
2019-11-12,273.2762,275.4043,273.1982,275.3258,1332098
2019-11-13,275.2313,275.7067,274.3189,274.7935,1222085
2019-11-14,274.8748,277.0767,271.6103,273.8037,1466737
2019-11-15,273.8168,276.3514,273.2556,275.7862,1270503
2019-11-18,276.6073,279.2546,272.0273,274.6559,1055061
2019-11-19,274.1553,274.4764,272.9237,273.2437,1155071
2019-11-20,272.6416,275.3831,271.7163,274.4517,1022857
2019-11-21,274.6026,280.4108,272.9299,278.7130,1424958
2019-11-22,280.5588,283.8363,280.4405,283.7167,2137714
2019-11-25,282.4523,286.2893,281.7124,285.5413,977705
2019-11-26,284.6266,285.1505,284.4292,284.9529,1207926
2019-11-27,283.4736,286.6428,278.5034,281.6522,1666253
2019-11-28,282.3393,283.0511,279.9950,280.7027,1332173
2019-11-29,280.3263,282.6458,279.8823,282.1988,1306969
2019-12-02,281.6821,287.1908,278.7745,284.2566,1305244
2019-12-03,284.1433,288.0517,282.8321,286.7285,1270493
2019-12-04,286.1778,290.1106,283.2596,287.1821,1297068
2019-12-05,286.3073,291.3111,284.0572,289.0395,1051367
