date,open,high,low,close,volume
2019-01-01,100.0607,101.6252,99.7959,101.3569,1702288
2019-01-02,101.7965,104.6441,101.2608,104.0963,1483656
2019-01-03,104.0923,104.5534,103.3212,103.7808,1151626
2019-01-04,103.0096,107.1768,102.0442,106.1817,1347835
2019-01-07,105.7388,107.1949,104.3014,105.7573,1046445
2019-01-08,106.5751,110.6157,105.4332,109.4431,2517824
2019-01-09,108.7940,110.2587,107.7818,109.2424,1106944
2019-01-10,108.4721,110.4527,107.0571,109.0305,1127656
2019-01-11,109.1383,110.4340,109.0328,110.3274,1236818
2019-01-14,110.1948,112.6155,108.7030,111.1112,1179113
2019-01-15,111.5220,112.9835,110.0845,111.5456,1231788
2019-01-16,111.5035,112.1424,109.9865,110.6204,1236752
2019-01-17,110.0955,110.9139,108.4435,109.2557,1744349
2019-01-18,109.7075,109.8927,106.0873,106.2667,1815608
2019-01-21,105.8982,110.2883,105.3070,109.6760,2121427
2019-01-22,109.2743,112.3699,109.0622,112.1523,1605293
2019-01-23,112.8715,113.7547,111.1627,112.0395,865061
2019-01-24,111.8035,111.8317,111.0023,111.0304,991834
2019-01-25,110.3490,110.6905,108.5825,108.9196,1642198
2019-01-28,107.5489,109.8079,107.0450,109.2958,1384260
2019-01-29,108.5525,108.7508,107.9447,108.1423,1092422
2019-01-30,106.5996,112.2242,105.6830,111.2674,2622020
2019-01-31,111.2658,113.5871,107.5551,109.8467,1330909
2019-02-01,109.5508,110.0334,107.0396,107.5132,2151665
2019-02-04,106.7296,109.1250,105.5870,107.9690,832117
2019-02-05,108.8644,110.5805,106.2524,107.9540,889428
2019-02-06,106.8622,113.1374,105.5819,111.7979,1779287
2019-02-07,111.8331,113.8293,111.1275,113.1156,1446914
2019-02-08,114.5060,115.3523,111.8239,112.6564,1190110
2019-02-11,112.8345,114.4931,111.7100,113.3633,1621637
2019-02-12,113.6777,114.3885,110.1233,110.8162,1723532
2019-02-13,110.8752,112.8444,109.9367,111.8973,1030952
2019-02-14,113.3636,113.6977,112.1909,112.5225,1030661
2019-02-15,112.6033,113.3107,111.1280,111.8305,1572561
2019-02-18,112.0332,112.3445,107.6833,107.9833,1819809
2019-02-19,107.3355,108.0083,105.9778,106.6462,1704325
2019-02-20,106.6171,108.5725,105.6560,107.6026,1651592
2019-02-21,107.8634,110.0556,106.5392,108.7208,1347282
2019-02-22,110.2209,112.7036,106.2562,108.7047,1036278
2019-02-25,109.9620,110.2281,109.9506,110.2166,1989366
2019-02-26,109.8900,111.9027,108.9720,110.9756,1198824
2019-02-27,109.5718,113.7835,106.9181,111.0929,895423
2019-02-28,111.2896,115.5497,104.6719,108.8382,1881091
2019-03-01,109.1496,110.0649,106.0283,106.9249,2190140
2019-03-04,106.6440,108.2437,101.9529,103.5056,2303994
2019-03-05,104.3844,107.1473,101.6996,104.4605,1022867
2019-03-06,103.9292,103.9881,101.8028,101.8606,2478384
2019-03-07,101.1535,103.8460,100.2020,102.8782,1329878
2019-03-08,102.6711,103.2297,97.6389,98.1730,2422188
2019-03-11,97.9364,102.1224,97.0547,101.2112,1974355
2019-03-12,101.5100,107.3975,97.4212,103.2391,1334313
2019-03-13,103.1007,106.0405,100.2124,103.1509,1270539
2019-03-14,103.4184,104.3980,101.3330,102.3020,1419687
2019-03-15,102.2580,102.3857,99.4142,99.5385,2494090
2019-03-18,98.3281,98.7196,96.7058,97.0923,1524820
2019-03-19,96.9804,99.3954,95.3978,97.7994,1458721
2019-03-20,97.4542,100.0069,94.2243,96.7589,1724399
2019-03-21,96.3421,97.4809,95.9088,97.0445,784924
2019-03-22,96.6980,96.7796,95.9560,96.0370,1355944
2019-03-25,96.7864,98.1449,92.8425,94.1643,1836618
2019-03-26,94.0366,94.5804,92.9455,93.4862,1597692
2019-03-27,94.1088,95.9891,92.6121,94.4864,1177696
2019-03-28,94.9665,97.4095,94.2660,96.6962,2064052
2019-03-29,97.5461,98.3510,94.9198,95.7096,1813144
2019-04-01,95.6393,96.1020,95.5692,96.0316,1427582
2019-04-02,96.5901,97.8759,93.4606,94.7215,1332662
2019-04-03,95.3072,97.6524,94.8947,97.2315,2434838
2019-04-04,96.9472,98.5186,94.8767,96.4399,1110108
2019-04-05,96.8306,98.6074,95.2205,96.9946,1066474
2019-04-08,95.9321,97.4740,92.5234,94.0348,2288283
2019-04-09,94.8384,98.2098,93.8179,97.1643,1984541
