date,open,high,low,close,volume
2019-01-01,39.9358,39.9678,39.6812,39.7130,1379704
2019-01-02,39.6393,40.0752,39.4890,39.9238,1557307
2019-01-03,39.8486,40.3788,39.5668,40.0952,1136488
2019-01-04,39.9968,40.9090,39.7240,40.6319,1826354
2019-01-07,40.6362,40.8374,40.2573,40.4576,891547
2019-01-08,40.3568,41.1120,40.1963,40.9491,1076030
2019-01-09,40.9459,41.1367,40.5547,40.7446,1456122
2019-01-10,40.6153,40.9196,40.4771,40.7809,959937
2019-01-11,40.9069,41.0263,40.5391,40.6578,830877
2019-01-14,40.6333,40.8780,40.6033,40.8478,905191
2019-01-15,40.9104,41.0076,39.9069,40.0020,1875998
2019-01-16,40.0970,40.2030,39.7167,39.8221,1014282
2019-01-17,39.8154,40.0442,39.6867,39.9151,854161
2019-01-18,39.9737,39.9798,39.5223,39.5283,1322589
2019-01-21,39.4778,40.1482,39.2410,39.9088,1529626
2019-01-22,39.7724,40.2583,39.7225,40.2078,1370186
2019-01-23,40.1458,40.6819,40.0885,40.6239,1407880
2019-01-24,40.6332,41.1131,40.0938,40.5730,1277189
2019-01-25,40.5645,40.6820,40.4431,40.5606,1172264
2019-01-28,40.4714,41.0937,40.3170,40.9375,1180616
2019-01-29,40.9247,41.2166,40.8154,41.1069,1351735
2019-01-30,41.1528,41.2262,40.3795,40.4517,1633783
2019-01-31,40.4373,40.8869,40.0577,40.5066,1345195
2019-02-01,40.5502,40.9007,40.0264,40.3754,1359699
2019-02-04,40.1962,40.6496,40.0191,40.4713,903258
2019-02-05,40.4325,40.5476,40.4213,40.5364,1060106
2019-02-06,40.5986,40.7467,39.8372,39.9830,1302549
2019-02-07,39.9909,40.2216,39.6917,39.9220,1270746
2019-02-08,39.7813,39.8971,39.7074,39.8231,1396960
2019-02-11,39.9216,40.3031,39.3227,39.7021,1437648
2019-02-12,39.7425,39.8425,39.7309,39.8309,817465
2019-02-13,39.7948,40.1485,39.6882,40.0413,1479414
2019-02-14,39.9320,40.0775,39.4639,39.6081,1010831
2019-02-15,39.6409,39.9425,39.6119,39.9134,1456175
2019-02-18,39.8420,40.1754,39.7280,40.0607,1058750
2019-02-19,40.1425,40.3998,39.7202,39.9765,797639
2019-02-20,39.9443,40.0228,39.7769,39.8552,1290156
2019-02-21,39.7184,39.7784,39.6473,39.7073,1311020
2019-02-22,39.4088,39.8528,39.2278,39.6706,853186
2019-02-25,39.7792,39.8953,39.2138,39.3286,1183611
2019-02-26,39.4079,39.6394,39.0294,39.2601,886168
2019-02-27,39.4123,39.6579,38.6995,38.9421,968752
2019-02-28,39.0159,39.0708,38.6170,38.6714,1259751
2019-03-01,38.5446,38.7302,38.2660,38.4512,985071
2019-03-04,38.4734,38.7960,38.1801,38.5024,886668
2019-03-05,38.4553,38.5117,38.1158,38.1719,1402387
2019-03-06,38.1374,38.8312,37.9122,38.6032,1540686
2019-03-07,38.6661,38.7526,38.5391,38.6255,920965
2019-03-08,38.6205,38.9753,38.3463,38.7005,812125
2019-03-11,38.8102,38.8610,38.7617,38.8125,888159
2019-03-12,38.7871,39.0239,38.2532,38.4881,1643974
2019-03-13,38.4229,38.5941,38.4193,38.5905,791005
2019-03-14,38.8021,38.8518,38.2305,38.2796,1555791
2019-03-15,38.3266,38.4053,37.6537,37.7312,1868369
2019-03-18,37.7330,37.7394,37.6865,37.6929,762044
2019-03-19,37.7694,38.2431,37.4688,37.9411,1105887
2019-03-20,37.9043,38.2941,37.7256,38.1144,838480
2019-03-21,38.1439,38.7617,37.8818,38.4971,1614118
2019-03-22,38.2601,38.4416,38.2273,38.4086,964385
2019-03-25,38.4427,38.6631,37.7472,37.9648,1183838
2019-03-26,38.0265,38.1448,37.9003,38.0186,799411
2019-03-27,37.9785,37.9936,37.7598,37.7748,1231357
2019-03-28,37.7531,37.8650,37.6478,37.7596,1289191
